"wknr_2021","wkname_2021","land","landid","wbmighintergrund_anteil","wbmighintergrund_absolut","mighintergrund_anteil","mighintergrund_absolut","wahlberechtigte","waehler","gueltige_1","gueltige_2","cdu_1","spd_1","linke_1","gruene_1","csu_1","fdp_1","afd_1","bevdichte","absolventen_hochschulreife","max1","max2","difference","vp","z","wk_gewinner_party","wk_gewinner_share","wk_gewinner_mh","wk_zweiter","wk_zweiter_party","wk_zweiter_share","wk_zweiter_mh","Quelle","Abgerufen.am","indicator_vp","mh_total"
61,"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II","Brandenburg",6,0.0403503403067589,9389.31288528442,0.115148432552814,33604.3184089661,226640,179977,177879,178222,42905,46934,29768,14658,0,13412,21698,544.2,53,46934,42905,4029,5360.31288528442,"Scholz Olaf","SPD","34,00",0,"Baerbock Anle","Grüne","18,80",0,"","",1,0
62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I","Brandenburg",6,0.03827203810215,9729.37378311157,0.0929387360811234,28188.4464225769,248708,187607,184378,184910,56607,36148,30278,8127,0,8910,37358,77.3,38.6,56607,37358,19249,-9519.62621688843,"Lehmann Sylvia","SPD","26,50",0,"Schimke Ja","CDU","19,90",0,"","",0,0
63,"Frankfurt (Oder) – Oder-Spree","Brandenburg",6,0.0317278392612934,6278.29346084595,0.0848757475614548,19945.7290534973,194759,140051,137959,137998,37344,23598,26401,4504,0,7008,30261,98.4,37.7,37344,30261,7083,-804.706539154053,"Papendieck Mathias","SPD","28,00",0,"Möller Wilko","AfD","21,50",0,"https://de.wikipedia.org/wiki/Wilko_M%C3%B6ller","1.2.2023 11:12:00",3e-04,0
64,"Cottbus – Spree-Neiße","Brandenburg",6,0.0194457471370697,3512.61205291748,0.0850820317864418,18223.1495742798,178676,132113,129723,130028,36855,22019,20359,4319,0,7426,32776,117.1,42.7,36855,32776,4079,-566.38794708252,"Wallstein Maja","SPD","27,60",0,"Münschke Daniel","AfD","25,70",NA,"","",0.0349,NA
65,"Elbe-Elster – Oberspreewald-Lausitz II","Brandenburg",6,0.00910796597599983,1517.86907958984,0.0379148535430431,7324.45599365234,168543,123365,120848,121154,35633,20142,19583,3543,0,6492,29830,65.4,29.9,35633,29830,5803,-4285.13092041016,"Walter Hannes","SPD","25,40",0,"Wolf Silvio","AfD","25,00",NA,"","",0,NA
66,"Altmark","Sachsen-Anhalt",7,0.021242568269372,3550.80605316162,0.0626729726791382,12254.9493751526,165625,111193,109455,109863,35644,20900,20973,3738,0,7388,18031,41.2,27.6,35644,20973,14671,-11120.1939468384,"Dr Wollmann Herbert","SPD","27,50",0,"Harms Uwe","CDU","21,80",0,"http://www.harms-cdu.de/cms/index.php?id=2","1.2.2023 11:17:00",0,0
67,"Börde – Jerichower Land","Sachsen-Anhalt",7,0.016175540164113,3606.30556488037,0.0487298555672169,12626.9069862366,220786,150499,145948,148088,55110,29174,29616,3540,0,11080,0,66.1,27,55110,29616,25494,-21887.6944351196,"Dr Kersten Franziska","SPD","26,20",0,"Weber Gerry ","CDU","25,00",0,"https://www.gerryweber-cdu.com/","1.2.2023 13:07:00",0,0
68,"Harz","Sachsen-Anhalt",7,0.0223125629127026,4863.23558044434,0.0428952276706696,10707.2255058289,215607,143567,141128,141531,51386,24767,27104,4462,0,6923,22792,106.1,30,51386,27104,24282,-19418.7644195557,"Brehmer Heike","CDU","27,70",0,"Berger Maik","SPD","25,40",NA,"","",0,NA
69,"Magdeburg","Sachsen-Anhalt",7,0.032731294631958,7528.86351394653,0.131652921438217,37575.2695426941,238060,162894,160556,160777,44021,34877,30299,6417,0,10796,24509,496.5,34.6,44021,34877,9144,-1615.13648605347,"Kröber Martin","SPD","25,30",0,"Sorge Tino","CDU","22,00",0,"","",0,0
70,"Dessau – Wittenberg","Sachsen-Anhalt",7,0.0210621133446693,3775.79058456421,0.0733650326728821,15403.4362373352,177005,123466,121399,121744,42781,14806,22086,5607,0,6051,23520,94.3,30.1,42781,23520,19261,-15485.2094154358,"Müller Sepp","CDU","34,30",0,"Schneider Leord ","SPD","19,50",0,"https://www.mz.de/lokal/dessau-rosslau/leonard-schneider-ist-20-jahriger-spd-direktkandidat-fur-den-bundestag-und-sieht-genau-jetzt-seine-chance-3238631","1.2.2023 13:14:00",0,0
71,"Anhalt","Sachsen-Anhalt",7,0.0189273972064257,4241.40186691284,0.0561455227434635,14404.5450172424,224401,147946,145192,145539,45843,18687,30757,2854,0,9213,32281,114.2,25.7,45843,32281,13562,-9320.59813308716,"Ziegler Kay-Uwe","AfD","24,20",0,"Wyszkowski Frank","CDU","23,50",NA,"","",0,NA
72,"Halle","Sachsen-Anhalt",7,0.0268155094236135,5927.10623168945,0.113974042236805,31032.3246536255,214668,152467,150275,150294,40690,32053,30530,5475,0,10131,26018,657.2,34.6,40690,32053,8637,-2709.89376831055,"Dr Diaby Karamba","SPD","28,80",1,"Bernstiel Christoph","CDU","20,70",0,"","",0,1
73,"Burgenland – Saalekreis","Sachsen-Anhalt",7,0.0169818308204412,3251.06568527222,0.054162684828043,12239.2958106995,191636,131219,128915,129212,43254,16930,21819,3198,0,8538,30112,131.8,30.7,43254,30112,13142,-9890.93431472778,"Stier Dieter","CDU","26,30",0,"Reichardt Martin","AfD","26,00",0,"","",0,0
74,"Mansfeld","Sachsen-Anhalt",7,0.0214812345802784,4432.30380630493,0.0437982194125652,10248.1257629395,207103,140223,137657,137932,42725,20864,24863,3647,0,11091,32864,103.4,23.7,42725,32864,9861,-5428.69619369507,"Farle Robert","AfD","25,10",0,"Schweiger Torsten","CDU","24,90",0,"","",0,0
75,"Berlin-Mitte","Berlin",8,0.203019115599008,53602.0881417438,0.511536358029132,189767.429841179,206706,151412,149071,149443,27654,35036,30492,26781,0,9017,11782,9579.8,44.4,35036,30492,4544,49058.0881417438,"Steinmüller Han","Grüne","30,50",0,"Klose Annika","SPD","22,70",0,"","",1,0
76,"Berlin-Pankow","Berlin",8,0.0785677691946625,18127.5017074901,0.197962986853379,64176.779818266,237071,188499,186313,186652,36429,30509,53618,26376,0,7890,22487,3409.9,44.4,53618,36429,17189,938.50170749013,"Gelbhaar Stefan","Grüne","25,50",0,"Mindrup Klaus","SPD","21,50",0,"","",0.9997,0
77,"Berlin-Reinickendorf","Berlin",8,0.110623419026085,20137.1150077587,0.278731885489558,71291.4121803143,182398,137240,134860,135105,49654,31882,10384,10647,0,9688,17738,2913.5,44.4,49654,31882,17772,2365.11500775869,"Grütters Monika","CDU","27,20",0,"Einstmann Torsten","SPD","25,80",0,"https://torsten-einstmann.spd.de/ueber-mich/","1.2.2023 13:17:00",1,0
78,"Berlin-Spandau – Charlottenburg Nord","Berlin",8,0.126336972865017,24040.4311304282,0.318324482860234,85110.3191321829,184608,133009,130574,130747,40372,41965,9861,8031,0,8292,17551,2734.2,44.4,41965,40372,1593,22447.4311304282,"Kleebank Helmut","SPD","32,80",0,"Chialo Joe","CDU","23,50",1,"","",1,1
79,"Berlin-Steglitz-Zehlendorf","Berlin",8,0.087995901498022,18092.7637418166,0.221718545275785,64053.797026134,221210,180720,178373,178957,63085,43801,13392,22712,0,16159,14549,2865.8,44.4,63085,43801,19284,-1191.23625818341,"Heilmann Thomas","CDU","28,00",0,"Stüwe Ruppert","SPD","24,90",0,"","",0,0
80,"Berlin-Charlottenburg-Wilmersdorf","Berlin",8,0.150850116853752,30193.0085444052,0.380088934758488,106892.28403739,198672,158034,156114,156647,47077,43123,14745,21286,0,14426,11722,5011.3,44.4,47077,43123,3954,26239.0085444052,"Müller Rainer Michael","SPD","27,90",0,"Paus Elisabeth Maria","Grüne","24,40",0,"","",1,0
81,"Berlin-Tempelhof-Schöneberg","Berlin",8,0.120680093483002,29008.9276081303,0.30407114780679,102700.283244313,235250,181159,178666,179081,51708,39380,19356,33763,0,11362,16188,6476.2,44.4,51708,39380,12328,16680.9276081303,"Kühnert Kevin","SPD","27,10",0,"Küst Rete Elly","Grüne","25,10",0,"","",1,0
82,"Berlin-Neukölln","Berlin",8,0.152107201160867,34169.0545344468,0.383256342548142,120968.676480634,202618,143553,141105,141413,34593,37777,23204,15480,0,7255,15105,7146.3,44.4,37777,34593,3184,30985.0545344468,"Demir Hakan","SPD","26,00",1,"Audretsch Andreas","Grüne","19,80",0,"","",1,1
83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost","Berlin",8,0.153364285467981,37981.3483926299,0.386423750337796,134465.337382233,223427,173289,171349,171744,20955,29028,42600,45055,0,5263,10558,13153.3,44.4,45055,42600,2455,35526.3483926299,"Bayram Can","Grüne","37,90",1,"Meiser Pascal","LINKE","17,70",0,"","",1,1
84,"Berlin-Treptow-Köpenick","Berlin",8,0.0597115045879435,11324.7966701165,0.150451870008568,40093.1686071445,205106,157111,155192,155188,29384,21379,61881,7755,0,5831,23245,1616.1,44.4,61881,29384,32497,-21172.2033298835,"Gysi Gregor","LINKE","35,40",0,"Trasnea A-Maria","SPD","15,40",1,"","",0,1
85,"Berlin-Marzahn-Hellersdorf","Berlin",8,0.0672540104306311,12712.9521616963,0.169456316746493,45007.6543853927,200704,138992,136785,136939,30480,17172,46782,4440,0,4852,28167,4371.3,44.4,46782,30480,16302,-3589.0478383037,"Czaja Mario","CDU","29,40",0,"Pau Petra Angelika","LINKE","21,90",0,"","",0,0
86,"Berlin-Lichtenberg","Berlin",8,0.103709455336955,21047.9092900322,0.26131114264646,74515.8964504798,205300,149116,147072,147126,28905,20720,51249,8609,0,5018,23119,5566.2,44.4,51249,28905,22344,-1296.09070996783,"Dr Lötzsch Gesine","LINKE","25,80",0,"Dr Ingenbleek Anja Sigrid","SPD","19,60",0,"https://anja-ingenbleek.spd.de/ueber-mich/","1.2.2023 13:19:00",0,0
87,"Aachen I","Nordrhein-Westfalen",9,0.173893883824348,31695.5475463867,0.336881250143051,82190.3713989258,179273,140624,139357,139801,47011,45309,12282,13104,0,10232,7817,1547.8,44,47011,45309,1702,29993.5475463867,"Krischer Oliver ","Grüne","30,20",0,"Henke Rudolf","CDU","25,60",0,"","",1,0
88,"Aachen II","Nordrhein-Westfalen",9,0.118171639740467,27644.4981269836,0.253831505775452,77520.831199646,228248,173149,171176,171607,62405,63135,8785,7782,0,11038,15114,564.2,44,63135,62405,730,26914.4981269836,"Moll Claudia","SPD","34,50",0,"Dos Santos Firnhaber Catari","CDU","32,50",1,"","",1,1
89,"Heinsberg","Nordrhein-Westfalen",9,0.126346364617348,24595.9774665832,0.237371176481247,59297.200012207,190051,142330,140604,140890,64121,39301,6424,6964,0,9334,11652,407,36.7,64121,39301,24820,-224.022533416752,"Oellers Wilfried","CDU","39,70",0,"Spinrath Norbert","SPD","25,90",0,"","",0.3123,0
90,"Düren","Nordrhein-Westfalen",9,0.113822594285011,23929.7586174011,0.203851386904716,52897.5736236572,199675,151595,149838,150134,62711,47543,6611,8235,0,8788,13404,281.1,40,62711,47543,15168,8761.75861740112,"Rachel Thomas Walther","CDU","36,70",0,"Nietan Dietmar Heinrich","SPD","30,80",0,"","",1,0
91,"Rhein-Erft-Kreis I","Nordrhein-Westfalen",9,0.151235088706017,38778.8136787415,0.28722420334816,97253.3724708557,248982,191505,189339,189868,74207,58792,8590,10354,0,17648,17113,647.5,39.8,74207,58792,15415,23363.8136787415,"Dr Kippels Georg","CDU","33,00",0,"Spielmanns Aaron Luca","SPD","30,50",NA,"","",1,NA
92,"Euskirchen – Rhein-Erft-Kreis II","Nordrhein-Westfalen",9,0.109357267618179,26860.3783073425,0.22550530731678,70882.6210250854,246753,187796,185575,186196,79493,48592,10835,10689,0,18316,17650,227,40.1,79493,48592,30901,-4040.62169265747,"Seif Detlef","CDU","34,60",0,"Andres Dagmar","SPD","26,70",0,"","",0,0
93,"Köln I","Nordrhein-Westfalen",9,0.203574280247011,36274.1696024402,0.436775064726207,111088.932203116,192574,139718,138196,138631,43683,42799,11898,13535,0,10652,11952,2318.6,43.1,43683,42799,884,35390.1696024402,"Abdi Sae","SPD","27,90",1,"Friede Lisa-Marie","Grüne","23,90",0,"https://www.lisa-marie-friede.de/","1.2.2023 13:21:00",1,1
94,"Köln II","Nordrhein-Westfalen",9,0.130358968930104,25819.5139250721,0.279689295833448,79071.7544571105,240985,197979,196761,197078,68657,52880,15704,28716,0,17816,9057,3258.2,43.1,68657,52880,15777,10042.5139250721,"Lehmann Sven","Grüne","34,60",0,"Dr von Möller Sandra","CDU","25,00",0,"https://sandravonmoeller.de/wp-content/uploads/2021/02/Vita_SvM.pdf","1.2.2023 13:25:00",1,0
95,"Köln III","Nordrhein-Westfalen",9,0.177681060391032,32947.6153504243,0.381220341581207,100901.425119636,203647,150629,149098,149525,41106,48148,14431,19621,0,10599,11249,2519.6,43.1,48148,41106,7042,25905.6153504243,"Dr Mützenich Rolf Heinrich","SPD","29,90",0,"Dröge Kathari","Grüne","28,30",0,"","",1,0
96,"Bonn","Nordrhein-Westfalen",9,0.1861372590065,42863.0438156128,0.356179654598236,115440.067279816,227583,180439,178941,179208,57330,62377,10193,15056,0,18724,10882,2337.1,51,62377,57330,5047,37816.0438156128,"Uhlig Katrin Babette","Grüne","25,20",0,"Rosenthal Jessica","SPD","25,10",0,"","",1,0
97,"Rhein-Sieg-Kreis I","Nordrhein-Westfalen",9,0.167044520378113,40467.3863143921,0.296483099460602,95472.6601867676,237415,184295,180563,182757,79987,49988,14684,11762,0,18768,0,476.6,43.7,79987,49988,29999,10468.3863143921,"Winkelmeier-Becker Elisabeth","CDU","32,60",0,"Hartmann Sebastian","SPD","28,50",0,"","",1,0
98,"Rhein-Sieg-Kreis II","Nordrhein-Westfalen",9,0.132651776075363,28668.8219947815,0.226955413818359,61542.9865074158,216020,174513,172898,173163,80441,39246,9543,13643,0,14491,14592,580.4,43.7,80441,39246,41195,-12526.1780052185,"Dr Röttgen Norbert","CDU","40,00",0,"Dr Stoppenbrink Katja","SPD","23,40",0,"https://katjastoppenbrink.de/mein-leben/","1.2.2023 13:27:00",0,0
99,"Oberbergischer Kreis","Nordrhein-Westfalen",9,0.211437776684761,45149.7163581848,0.308654963970184,83213.6604499817,208418,156593,154631,155034,67603,41305,7999,9489,0,12123,15648,296.1,37.4,67603,41305,26298,18851.7163581848,"Dr Brodesser Carsten","CDU","33,90",0,"Engelmeier Michaela","SPD","26,80",0,"","",1,0
100,"Rheinisch-Bergischer Kreis","Nordrhein-Westfalen",9,0.106844216585159,23943.505065918,0.204772531986237,57659.0979614258,217425,174420,172240,172529,68948,42098,8409,11846,0,27049,12476,647.7,45.2,68948,42098,26850,-2906.49493408203,"Dr Tebroke Hermann-Josef","CDU","30,00",0,"Krasniqi Kastriot","SPD","22,70",1,"","",0,1
101,"Leverkusen – Köln IV","Nordrhein-Westfalen",9,0.066031347477115,57227.1270749747,0.129683567597545,159723.006208724,212212,155139,153520,153711,47272,59373,9430,8722,0,10114,13408,2391.6,42.9,59373,47272,12101,45126.1270749747,"Dr Lauterbach Karl","SPD","45,60",0,"Güler Serap","CDU","20,40",1,"","",1,1
102,"Wuppertal I","Nordrhein-Westfalen",9,0.242167012546909,29175.5190658016,0.460855250961182,80822.6186589053,208129,149950,148006,148567,43814,46657,13120,10987,0,12910,16339,2392.9,39.5,46657,43814,2843,26332.5190658016,"Lindh Helge Frederik","SPD","37,30",1,"Lünenschloss Caroline","CDU","22,00",0,"https://www.caroline-luenenschloss.de/","1.2.2023 13:29:00",1,1
103,"Solingen – Remscheid – Wuppertal II","Nordrhein-Westfalen",9,0.136114159672084,59339.568149622,0.254387341349172,156989.606503601,222845,164019,161762,162469,61871,49863,10105,9403,0,12548,15303,1550.7,40.4,61871,49863,12008,47331.568149622,"Schäfer Ingo","SPD","32,60",0,"Hardt Jürgen ","CDU","27,60",0,"","",1,0
104,"Mettmann I","Nordrhein-Westfalen",9,0.171520471572876,34152.6861686707,0.327684164047241,88545.7598876953,205244,160315,158550,159165,70762,40819,8647,11014,0,13202,14106,1463.2,40.8,70762,40819,29943,4209.68616867065,"Dr Wiener Klaus","CDU","30,00",0,"Steicker Christian","SPD","24,90",0,"https://www.spd-hilden.de/christian-steinacker/","1.2.2023 13:34:00",1,0
105,"Mettmann II","Nordrhein-Westfalen",9,0.186551049351692,29445.9064941406,0.324240833520889,68673.4824867249,163229,125496,123986,124440,48689,37468,6825,7567,0,10795,11143,969.7,40.8,48689,37468,11221,18224.9064941406,"Beyer Peter ","CDU","31,30",0,"Griese Kerstin","SPD","30,70",0,"","",1,0
106,"Düsseldorf I","Nordrhein-Westfalen",9,0.179912933659952,39826.2465402956,0.393326525751602,129089.3887785,220764,172947,171387,171910,69273,41903,12611,14408,0,21944,10912,2559.6,42.9,69273,41903,27370,12456.2465402956,"Jarzombek Thomas","CDU","31,10",0,"Martens Zanda","SPD","22,40",1,"","",1,1
107,"Düsseldorf II","Nordrhein-Westfalen",9,0.183423429926488,35500.3921163206,0.401001189668707,115067.934284397,193175,143599,141828,142546,47950,38727,18499,11778,0,13049,11530,3304.5,42.9,47950,38727,9223,26277.3921163206,"Rimkus Andreas","SPD","29,20",0,"Pantel Sylvia","CDU","24,70",0,"","",1,0
108,"Neuss I","Nordrhein-Westfalen",9,0.173382371664047,37622.7514343262,0.296847522258759,86631.5496940613,214779,160050,158292,158775,69658,45314,8535,8131,0,11471,13675,849.7,48.3,69658,45314,24344,13278.7514343262,"Gröhe Gottfried Hermann","CDU","35,80",0,"Rinkert Daniel","SPD","32,00",0,"","",1,0
109,"Mönchengladbach","Nordrhein-Westfalen",9,0.152467489242554,30435.3885536194,0.274684131145477,71000.3699836731,190552,132006,130443,130836,57766,31766,8921,7814,0,10225,11910,1531.3,40.5,57766,31766,26000,4435.38855361938,"Dr Krings Günter","CDU","35,60",0,"Yüksal Gülistan ","SPD","29,30",1,"","",1,1
110,"Krefeld I – Neuss II","Nordrhein-Westfalen",9,0.108187193928832,31750.9179968341,0.187953068716287,71224.0508218988,201450,155434,153673,154190,65228,39142,7815,10140,0,17673,11196,900.6,44.8,65228,39142,26086,5664.91799683413,"Heveling Ansgar","CDU","33,40",0,"Einfalt Philipp","SPD","25,50",NA,"","",1,NA
111,"Viersen","Nordrhein-Westfalen",9,0.101305142045021,23912.9249191284,0.206773564219475,60514.2238616943,227423,173280,171590,172018,82165,42932,8747,11478,0,14233,12035,530.6,44.6,82165,42932,39233,-15320.0750808716,"Dr Plum Martin","CDU","35,80",0,"Schiefner Udo","SPD","27,60",0,"","",0,0
112,"Kleve","Nordrhein-Westfalen",9,0.101404912769794,23100.7605400085,0.241589456796646,73968.2595558167,226096,169057,167383,167658,75375,51197,7096,8230,0,12692,11019,253.4,31.9,75375,51197,24178,-1077.23945999146,"Rouenhoff Stefan","CDU","37,60",0,"Wißen Bodo","SPD","28,40",0,"https://bodo-wissen.de/","1.2.2023 13:36:00",0.002,0
113,"Wesel I","Nordrhein-Westfalen",9,0.10121551156044,21641.8193664551,0.175646170973778,45450.7997055054,207178,160344,158681,159098,61849,52085,9461,8763,0,12644,13615,295.8,41.1,61849,52085,9764,11877.8193664551,"Keller Rainer Johannes ","SPD","34,20",0,"Weiss Sabine Kathari","CDU","29,80",0,"","",1,0
114,"Krefeld II – Wesel II","Nordrhein-Westfalen",9,0.114018230409218,31042.9442658917,0.196164851053214,69206.6245359198,179118,133705,132097,132530,48817,42219,7418,8063,0,10769,11294,1380.1,40.6,48817,42219,6598,24444.9442658917,"Dieren Jan Ulrich","SPD","35,20",0,"Radomski Kerstin Christiane","CDU","28,40",0,"","",1,0
115,"Duisburg I","Nordrhein-Westfalen",9,0.180314837606607,30168.2944345691,0.364354387037017,89025.8297697442,167998,121638,118768,119616,34053,45455,8146,6648,0,8289,13648,2062.4,36.5,45455,34053,11402,18766.2944345691,"Bas Bärbel","SPD","40,30",0,"Mahlberg Thomas ","CDU","20,70",0,"","",1,0
116,"Duisburg II","Nordrhein-Westfalen",9,0.21656369671309,37339.5200872205,0.43760088752384,110187.924815522,160204,103704,100308,101792,26522,34799,8885,4622,0,7054,16643,2225.6,36.5,34799,26522,8277,29062.5200872205,"Özdemir Mahmut","SPD","39,40",1,"Mosblech Volker Peter","CDU","20,00",0,"","",1,1
117,"Oberhausen – Wesel III","Nordrhein-Westfalen",9,0.109364211559296,23117.3330383301,0.263535737991333,73194.7870597839,204816,150312,148121,148861,43077,56987,11331,8349,0,9357,18197,2229.6,41.6,56987,43077,13910,9207.33303833008,"Vöpel Dirk","SPD","38,80",0,"Dött Marie-Luise","CDU","22,50",0,"","",1,0
118,"Mülheim – Essen I","Nordrhein-Westfalen",9,0.0693594997926407,39315.6155124385,0.13881570148383,104324.358746284,187746,142858,141064,141651,44219,49226,9210,8690,0,12729,16221,2186.4,44.3,49226,44219,5007,34308.6155124385,"Fiedler Sebastian","SPD","36,30",0,"Timmermann-Fechter Astrid","CDU","24,00",0,"","",1,0
119,"Essen II","Nordrhein-Westfalen",9,0.210301553093154,30376.5226042805,0.408638143378155,77824.7427562425,163326,110369,108754,109215,28912,40601,8555,5846,0,7207,17153,3642.6,42.9,40601,28912,11689,18687.5226042805,"Heidenblut Dirk","SPD","37,80",0,"Fuchs Florian","CDU","22,80",0,"https://www.florian-fuchs.de/","1.2.2023 13:38:00",1,0
120,"Essen III","Nordrhein-Westfalen",9,0.119621066897023,17768.8542233689,0.232436375132528,45523.8582447879,192918,153336,152104,152409,56393,46829,9846,12511,0,12639,12306,2147.1,42.9,56393,46829,9564,8204.85422336893,"Hauer Matthias ","CDU","30,70",0,"Dr Wolters Gereon","SPD","30,00",0,"https://www.nrwspd.de/personen/gereon-wolters/","1.2.2023 13:39:00",1,0
121,"Recklinghausen I","Nordrhein-Westfalen",9,0.176532983779907,29822.1036071777,0.302104324102402,66255.9458847046,169267,123958,122242,122884,37792,47257,8043,6079,0,8791,13953,1295.3,35,47257,37792,9465,20357.1036071777,"Schwabe Frank","SPD","41,00",0,"Breilmann Michael","CDU","25,60",0,"","",1,0
122,"Recklinghausen II","Nordrhein-Westfalen",9,0.140148833394051,25944.6820373535,0.275786072015762,67283.1728477478,189376,140795,136147,139510,46982,56019,11502,6363,0,13903,0,642.2,35,56019,46982,9037,16907.6820373535,"Nickholz Brian","SPD","37,40",0,"Ehm Lars Andre","CDU","28,10",NA,"","",1,NA
123,"Gelsenkirchen","Nordrhein-Westfalen",9,0.18679666519165,34139.8333511353,0.373945891857147,98019.9673957825,175210,119414,117421,118066,29768,45017,7614,5444,0,7864,19836,2474.2,32.1,45017,29768,15249,18890.8333511353,"Töns Markus","SPD","40,50",0,"Rosen Laura Ann","CDU","19,80",0,"https://politikorange.de/2021/09/laura-rosen-junge-cdu-kandidatin-in-einer-politisch-unruhigen-stadt/","1.2.2023 13:42:00",1,0
124,"Steinfurt I – Borken I","Nordrhein-Westfalen",9,0.0906471237540245,20026.9229316711,0.203713923692703,57187.7917251587,202192,154606,153182,153578,78579,39584,7554,8118,0,10082,9265,282,32.2,78579,39584,38995,-18968.0770683289,"Spahn Jens","CDU","40,00",0,"Lahrkamp Sarah","SPD","28,30",0,"","",0,0
125,"Bottrop – Recklinghausen III","Nordrhein-Westfalen",9,0.127465322613716,26044.3922691345,0.244514644145966,63940.8735313416,202793,151842,149859,150514,50334,55128,9505,6522,0,9667,17756,870.4,37.4,55128,50334,4794,21250.3922691345,"Gerdes Michael","SPD","39,10",0,"Volmering Sven","CDU","27,00",0,"","",1,0
126,"Borken II","Nordrhein-Westfalen",9,0.0739278122782707,15071.7439575195,0.15890434384346,40760.379032135,199978,158146,155771,157056,81496,39412,6969,10496,0,14216,0,261.7,29,81496,39412,42084,-27012.2560424805,"König Anne","CDU","43,70",0,"Heselhaus dine","SPD","25,40",1,"","",0,1
127,"Coesfeld – Steinfurt II","Nordrhein-Westfalen",9,0.106220118701458,19753.9341049194,0.187709346413612,44051.8596954346,192946,156813,154379,155826,79677,36250,9577,12680,0,16195,0,196,36.8,79677,36250,43427,-23673.0658950806,"Heinrich Marc","CDU","40,90",0,"Waldmann Johannes","SPD","25,10",0,"https://www.johannes-waldmann.de/ueber-mich/","1.2.2023 13:43:00",0,0
128,"Steinfurt III","Nordrhein-Westfalen",9,0.13722950220108,28138.7404975891,0.196360498666763,48996.1338310242,195571,152541,151177,151383,67678,45797,8520,9857,0,8533,9530,234.6,34.4,67678,45797,21881,6257.74049758911,"Karliczek Anja Maria-Antonia ","CDU","34,00",0,"Coße Jürgen","SPD","31,10",0,"","",1,0
129,"Münster","Nordrhein-Westfalen",9,0.116811759769917,27860.2662963867,0.241156250238419,74859.2384109497,232294,191090,189854,190126,70606,54778,13024,24248,0,13219,8569,1039.6,51.4,70606,54778,15828,12032.2662963867,"Klein-Schmeink Maria An","Grüne","32,30",0,"Dr cke Stefan","CDU","26,20",0,"","",1,0
130,"Warendorf","Nordrhein-Westfalen",9,0.147337689995766,32353.5172462463,0.256326377391815,71122.308391571,209604,163531,161586,162144,75017,45094,7738,8968,0,11291,11078,210.6,34.8,75017,45094,29923,2430.51724624633,"Rehbaum Henning","CDU","36,30",0,"Daldrup Bernhard","SPD","30,80",0,"","",1,0
131,"Gütersloh I","Nordrhein-Westfalen",9,0.183275759220123,46392.4899215698,0.29400509595871,96850.6867790222,234272,176708,174626,175027,81298,48942,7582,9992,0,11401,13996,377.4,39.1,81298,48942,32356,14036.4899215698,"Brinkhaus Ralph","CDU","40,00",0,"Korkmaz-Emre Elvan","SPD","25,80",1,"","",1,1
132,"Bielefeld – Gütersloh II","Nordrhein-Westfalen",9,0.22899541258812,57351.3501281738,0.3945232629776,135797.003517151,246216,186152,184077,184616,56485,61086,16489,17728,0,13495,15028,1173.6,39.2,61086,56485,4601,52750.3501281738,"Dr Esdar Wiebke","SPD","30,00",0,"Dr Westerwelle Angelika","CDU","22,30",NA,"","",1,NA
133,"Herford – Minden-Lübbecke II","Nordrhein-Westfalen",9,0.203547149896622,45758.4454879761,0.320432633161545,94244.1736297607,228976,168664,166592,167047,59571,61205,9353,8444,0,9411,16633,580.7,37.5,61205,59571,1634,44124.4454879761,"Schwartze Stefan","SPD","36,50",0,"Ebmeyer Joachim Simon","CDU","26,70",NA,"","",1,NA
134,"Minden-Lübbecke I","Nordrhein-Westfalen",9,0.169674411416054,34619.6383285522,0.263159483671188,67366.3900985718,204203,151181,149530,149673,53057,55868,7862,7372,0,10575,14796,240.7,37.6,55868,53057,2811,31808.6383285522,"Post Achim Jürgen","SPD","38,40",0,"Dr Vogt Oliver","CDU","26,20",0,"","",1,0
135,"Lippe I","Nordrhein-Westfalen",9,0.200607597827911,48049.3661804199,0.279478877782822,82119.9419708252,227196,171391,169184,169572,61064,54022,9891,11252,0,13764,16829,329.8,35.6,61064,54022,7042,41007.3661804199,"Berghahn Jürgen","SPD","30,70",0,"Vieregge Kerstin","CDU","26,20",0,"","",1,0
136,"Höxter – Gütersloh III – Lippe II","Nordrhein-Westfalen",9,0.113124646246433,20400.4785919189,0.172726094722748,36910.1311607361,174634,133105,131400,131645,63213,32564,6331,6630,0,8779,12130,136.2,36.5,63213,32564,30649,-10248.5214080811,"Haase Christian","CDU","40,10",0,"Dr Kros Ulrich","SPD","28,00",0,"https://www.nrwspd.de/personen/hoexter-guetersloh-iii-lippe-ii-dr-ulrich-kros/","1.2.2023 13:48:00",0,0
137,"Paderborn","Nordrhein-Westfalen",9,0.20314510166645,48707.7233276367,0.297766447067261,91197.3745918274,229056,171804,170144,170408,91163,33516,8926,10305,0,9188,15380,246.9,36.1,91163,33516,57647,-8939.27667236328,"Dr Linnemann Carsten Christoffer ","CDU","47,90",0,"Blienert Burkhard Karl Erich","SPD","19,00",0,"","",0,0
