wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
37;LÃ¼chow-Dannenberg â€“ LÃ¼neburg;Niedersachsen;Blankenburg Jakob;SPD;28,20;0;Verlinden Julia;Grüne;25,10;0;;
38;OsbrÃ¼ck-Land;Niedersachsen;Dr Berghegger Andre;CDU;36,20;0;Hennig Anke;SPD;29,70;0;;
39;Stadt OsbrÃ¼ck;Niedersachsen;Gava Manuel;SPD;30,30;1;Middelberg Mathias;CDU;29,20;0;;
40;Nienburg II â€“ Schaumburg;Niedersachsen;Völlers Marja-Liisa;SPD;35,30;0;Beermann Maik;CDU;30,90;0;;
41;Stadt Hannover I;Niedersachsen;Ahmetovic Adis;SPD;34,90;1;Michaelsen Swantje Henrike;Grüne;21,80;0;;
42;Stadt Hannover II;Niedersachsen;Fahimi Yasmin;SPD;32,90;1;Kindler Sven-Christian;Grüne;26,50;0;;
43;Hannover-Land I;Niedersachsen;Schamber Rebecca;SPD;33,70;0;Dr Hoppenstedt Hendrik;CDU;31,90;0;;
44;Celle â€“ Uelzen;Niedersachsen;Otte Henning;CDU;32,90;0;Mende Dirk-Ulrich;SPD;32,30;0;https://www.spdfraktion.de/abgeordnete/mende;1.2.2023 10:59:00
45;Gifhorn â€“ Peine;Niedersachsen;Heil Wolfgang-Hubertus;SPD;43,70;0;Pahlmann Ingrid;CDU;24,40;0;;
46;Hameln-Pyrmont â€“ Holzminden;Niedersachsen;Schraps Johannes ;SPD;43,20;0;Wulf Mareike Lotte;CDU;25,50;0;;
47;Hannover-Land II;Niedersachsen;Dr Miersch Matthias;SPD;40,70;0;Kuban Tilman Moritz;CDU;25,50;0;;
48;Hildesheim;Niedersachsen;Westphal Bernd Helmut;SPD;38,70;0;Bertam Ute;CDU;25,80;0;;
49;Salzgitter â€“ WolfenbÃ¼ttel;Niedersachsen;Kreiser Dunja;SPD;38,60;0;Bormann Holger;CDU;27,20;0;https://www.holger-bormann.de/ueber-mich/;1.2.2023 11:01:00
50;Braunschweig;Niedersachsen;Dr Pantazis Christos;SPD;36,70;1;Müller Carsten;CDU;22,40;0;;
51;Helmstedt â€“ Wolfsburg;Niedersachsen;Mohrs Falko;SPD;42,10;0;Weber Andreas;CDU;26,60;0;https://www1.wdr.de/kandidatencheck/2021/ndr-bundestagswahl/video/video-andreas-weber-cdu-helmstedt--wolfsburg-bundestagswahl-100.html;1.2.2023 11:05:00
52;Goslar â€“ Northeim â€“ Osterode;Niedersachsen;Heiligenstadt Frauke;SPD;36,70;0;Dr Kühne Roy;CDU;33,20;0;;
53;GÃ¶ttingen;Niedersachsen;Dr Philippi Andreas;SPD;32,20;0;Güntzler Fritz;CDU;26,90;0;;
54;Bremen I;Bremen;Ryglewski Sarah Jani;SPD;30,20;0;Dr Kappert-Gonther Kirsten;Grüne;21,50;0;;
55;Bremen II â€“ Bremerhaven;Bremen;Schmidt Uwe ;SPD;36,90;0;Winter Wiebke;CDU;20,10;0;https://www.wiebke-winter.de/ueber-mich/;1.2.2023 11:06:00
56;Prignitz â€“ Ostprignitz-Ruppin â€“ Havelland I;Brandenburg;Papenbrock Wiebke;SPD;33,00;0;Dr Kaufner Dominik;AfD;19,70;0;https://dominikkaufner.de/zur-person;1.2.2023 11:08:00
57;Uckermark â€“ Barnim I;Brandenburg;Zierke Stefan;SPD;26,90;0;Guck Hannes;AfD;20,30;0;;
58;Oberhavel â€“ Havelland II;Brandenburg;Fäscher Ariane;SPD;26,30;0;Feiler Uwe;CDU;20,80;0;;
59;MÃ¤rkisch-Oderland â€“ Barnim II;Brandenburg;Koß Simo;SPD;24,80;0;Dr Buder Sabine;CDU;23,40;0;Annahme durch Namen;
60;Brandenburg an der Havel â€“ Potsdam-Mittelmark I â€“ Havelland III â€“ Teltow-FlÃ¤ming I;Brandenburg;Eichwede Sonja Kathari;SPD;32,10;0;Dr Tiemann Dietlind;CDU;20,10;0;;
61;Potsdam â€“ Potsdam-Mittelmark II â€“ Teltow-FlÃ¤ming II;Brandenburg;Scholz Olaf;SPD;34,00;0;Baerbock Anle;Grüne;18,80;0;;
62;Dahme-Spreewald â€“ Teltow-FlÃ¤ming III â€“ Oberspreewald-Lausitz I;Brandenburg;Lehmann Sylvia;SPD;26,50;0;Schimke Ja;CDU;19,90;0;;
63;Frankfurt (Oder) â€“ Oder-Spree;Brandenburg;Papendieck Mathias;SPD;28,00;0;Möller Wilko;AfD;21,50;0;https://de.wikipedia.org/wiki/Wilko_M%C3%B6ller;1.2.2023 11:12:00
64;Cottbus â€“ Spree-NeiÃŸe;Brandenburg;Wallstein Maja;SPD;27,60;0;Münschke Daniel;AfD;25,70;;;
65;Elbe-Elster â€“ Oberspreewald-Lausitz II;Brandenburg;Walter Hannes;SPD;25,40;0;Wolf Silvio;AfD;25,00;;;
66;Altmark;Sachsen-Anhalt;Dr Wollmann Herbert;SPD;27,50;0;Harms Uwe;CDU;21,80;0;http://www.harms-cdu.de/cms/index.php?id=2;1.2.2023 11:17:00
67;BÃ¶rde â€“ Jerichower Land;Sachsen-Anhalt;Dr Kersten Franziska;SPD;26,20;0;Weber Gerry ;CDU;25,00;0;https://www.gerryweber-cdu.com/;1.2.2023 13:07:00
68;Harz;Sachsen-Anhalt;Brehmer Heike;CDU;27,70;0;Berger Maik;SPD;25,40;;;
69;Magdeburg;Sachsen-Anhalt;Kröber Martin;SPD;25,30;0;Sorge Tino;CDU;22,00;0;;
70;Dessau â€“ Wittenberg;Sachsen-Anhalt;Müller Sepp;CDU;34,30;0;Schneider Leord ;SPD;19,50;0;https://www.mz.de/lokal/dessau-rosslau/leonard-schneider-ist-20-jahriger-spd-direktkandidat-fur-den-bundestag-und-sieht-genau-jetzt-seine-chance-3238631;1.2.2023 13:14:00
71;Anhalt;Sachsen-Anhalt;Ziegler Kay-Uwe;AfD;24,20;0;Wyszkowski Frank;CDU;23,50;;;
72;Halle;Sachsen-Anhalt;Dr Diaby Karamba;SPD;28,80;1;Bernstiel Christoph;CDU;20,70;0;;
73;Burgenland â€“ Saalekreis;Sachsen-Anhalt;Stier Dieter;CDU;26,30;0;Reichardt Martin;AfD;26,00;0;;
74;Mansfeld;Sachsen-Anhalt;Farle Robert;AfD;25,10;0;Schweiger Torsten;CDU;24,90;0;;
75;Berlin-Mitte;Berlin;Steinmüller Han;Grüne;30,50;0;Klose Annika;SPD;22,70;0;;
76;Berlin-Pankow;Berlin;Gelbhaar Stefan;Grüne;25,50;0;Mindrup Klaus;SPD;21,50;0;;
77;Berlin-Reinickendorf;Berlin;Grütters Monika;CDU;27,20;0;Einstmann Torsten;SPD;25,80;0;https://torsten-einstmann.spd.de/ueber-mich/;1.2.2023 13:17:00
78;Berlin-Spandau â€“ Charlottenburg Nord;Berlin;Kleebank Helmut;SPD;32,80;0;Chialo Joe;CDU;23,50;1;;
79;Berlin-Steglitz-Zehlendorf;Berlin;Heilmann Thomas;CDU;28,00;0;Stüwe Ruppert;SPD;24,90;0;;
80;Berlin-Charlottenburg-Wilmersdorf;Berlin;Müller Rainer Michael;SPD;27,90;0;Paus Elisabeth Maria;Grüne;24,40;0;;
81;Berlin-Tempelhof-SchÃ¶neberg;Berlin;Kühnert Kevin;SPD;27,10;0;Küst Rete Elly;Grüne;25,10;0;;
82;Berlin-NeukÃ¶lln;Berlin;Demir Hakan;SPD;26,00;1;Audretsch Andreas;Grüne;19,80;0;;
