"max1","max2","wbmighintergrund_absolut","gueltige_1","first_per","second_per","third_per","index"
68120,47711,15921.9198722839,170318,0.399957726135817,0.28012893528576,0.319913338578424,1
62256,34685,11759.1319580078,137897,0.451467399580847,0.25152831461163,0.297004285807523,2
54812,34219,9846.82526016235,130883,0.418786244202838,0.261447246777656,0.319766509019506,3
66625,45070,11548.5941734314,156102,0.4268042690036,0.288721476982998,0.284474254013401,4
46991,46560,25380.7598342896,151679,0.309805576249843,0.306964049077328,0.383230374672829,5
53109,37728,16841.1677742004,130489,0.406999823739932,0.289127819203151,0.303872357056917,6
73816,56460,26147.6867485046,186095,0.396657621107499,0.303393428087805,0.299948950804697,7
78824,52434,18733.4900360107,191772,0.411029764512025,0.273418434390839,0.315551801097136,8
56996,42232,6886.78233337402,137289,0.415153435453678,0.307613865641093,0.277232698905229,9
75737,52171,24517.4402008057,191765,0.394946940265429,0.272056944697938,0.332996115036633,10
45432,43578,17066.181022644,128733,0.352916501596327,0.338514599986018,0.308568898417655,11
49733,34267,7464.76296234131,155102,0.320647058065015,0.220932031824219,0.458420910110766,12
43453,34705,7013.79029273987,144838,0.300011046824728,0.239612532622654,0.460376420552617,13
47923,40202,8628.42205238342,162239,0.295385203311164,0.247794919840482,0.456819876848353,14
73746,32173,4360.14799499512,167662,0.43984922045544,0.191892020851475,0.368258758693085,15
48269,36273,4836.09220695496,154628,0.3121620922472,0.234582352484673,0.453255555268127,16
53538,26199,4436.61563301086,142376,0.376032477383829,0.184012754958701,0.43995476765747,17
53795,42149,53113.046471902,174015,0.30914001666523,0.242214751601873,0.448645231732897,18
41947,37575,28078.3517091402,144929,0.289431376743095,0.259264881424698,0.451303741832207,19
48920,44416,23233.5352234313,154730,0.316163639888839,0.287054869773153,0.396781490338008,20
59441,54695,21315.3262593621,177363,0.335137542779497,0.308378861431076,0.356483595789426,21
59086,50822,32714.7671786596,170867,0.345801120169489,0.297436017487285,0.356762862343226,22
53446,43274,48199.7335353886,153768,0.347575568388741,0.281423963373394,0.371000468237865,23
69231,38531,9799.37211227417,139584,0.495980914718019,0.276041666666667,0.227977418615314,24
87406,48959,25256.7789573669,174789,0.500065793614015,0.280103439003599,0.219830767382387,25
54504,44537,12702.8297424316,137343,0.396845853083157,0.324275718456711,0.278878428460133,26
63235,52598,17797.0721702576,174170,0.3630648217259,0.301992306367342,0.334942871906758,27
57390,55326,26839.2337799072,168228,0.341144161495114,0.328875098081176,0.329980740423711,28
59930,43077,12636.8358039856,140293,0.427177407283328,0.307050244844718,0.265772347871954,29
67463,42829,21826.540813446,151852,0.44426810315307,0.282044358981113,0.273687537865817,30
95815,47107,22214.9702758789,178624,0.536406082049445,0.263721560372626,0.199872357577929,31
93545,32997,41121.1443023682,162119,0.577014415336882,0.203535674412006,0.219449910251112,32
65465,40102,15625.0427055359,146818,0.445892193055347,0.273140895530521,0.280966911414132,33
59560,48505,15204.3725967407,151768,0.392441094301829,0.319599652100575,0.287959253597596,34
51938,45510,16432.9212341309,126097,0.411889259855508,0.360912630752516,0.227198109391976,35
65223,44017,17272.7549705505,160512,0.406343450956938,0.274228718102073,0.319427830940989,36
46740,39169,13501.9907226562,139618,0.334770588319558,0.280544055924021,0.384685355756421,37
68379,42438,33910.8549880981,150076,0.455629147898398,0.282776726458594,0.261594125643008,38
60185,47279,31055.3478775024,149408,0.402823142000428,0.316442225315913,0.280734632683658,39
59128,47615,19104.0453529358,145477,0.406442255476811,0.327302597661486,0.266255146861703,40
47549,39487,38902.6395529487,133415,0.356399205486639,0.295971217629202,0.347629576884159,41
49744,42713,40718.0007363579,147624,0.336964179266244,0.289336422261963,0.373699398471793,42
72282,59552,30350.9439849854,180096,0.401352611940299,0.330668088130775,0.267979299928927,43
68655,48189,23880.0280799866,160796,0.426969576357621,0.299690290803254,0.273340132839125,44
63294,60345,26209.3545303345,167373,0.378161352189421,0.36054202290692,0.261296624903658,45
54130,46181,27219.448387146,138469,0.390917822761773,0.333511471881793,0.275570705356434,46
69104,65815,27547.1012992859,186766,0.370003105490293,0.352392833813435,0.277604060696272,47
62448,60457,25347.8159637451,167861,0.372022089705173,0.360161085660159,0.267816824634668,48
66587,45310,19225.9102401733,155479,0.428270055763158,0.291421992680684,0.280307951556159,49
55641,45881,28343.6607398987,146350,0.380191322172873,0.313501879057055,0.306306798770072,50
51646,47416,32415.7249755859,135832,0.380219683137994,0.349078273160964,0.270702043701042,51
59391,51953,18903.8594245911,149372,0.397604638084782,0.347809495755563,0.254585866159655,52
59032,56250,12131.1330032349,169108,0.349078695271661,0.33262766989143,0.318293634836909,53
55656,44912,30165.3900625218,185437,0.300134277409578,0.242195462609943,0.457670259980479,54
49463,36363,48608.5291097652,145606,0.339704407785393,0.249735587819183,0.410560004395423,55
36481,28061,2726.18433761597,118415,0.308077523962336,0.23697166744078,0.454950808596884,56
39102,25804,4406.68285751343,127876,0.305780599956208,0.201789233319779,0.492430166724014,57
54455,41423,9969.58396530151,182290,0.298727302649624,0.22723682045093,0.474035876899446,58
47594,37721,7084.64945602417,167605,0.283965275498941,0.225058918290027,0.490975806211032,59
45181,35202,4043.89395141602,141429,0.319460648099046,0.248902276053709,0.431637075847245,60
46934,42905,9389.31288528442,177879,0.263853518402959,0.241203289876826,0.494943191720214,61
56607,37358,9729.37378311157,184378,0.307016021434228,0.202616364208311,0.490367614357461,62
37344,30261,6278.29346084595,137959,0.27068911778137,0.219347777238165,0.509963104980465,63
36855,32776,3512.61205291748,129723,0.284105362965704,0.252661440145541,0.463233196888755,64
